x1, y1, z1, x2, y2, z2, Metrology_Out
0, 0.006, 0, 0.014, 0.006, 0, 8.41837308519806e-05
0, 0.006, 0.001, 0.014, 0.006, 0.001, 0.00902333012117217
0, 0.006, 0.002, 0.014, 0.006, 0.002, 0.00880055500902285
0, 0.006, 0.003, 0.014, 0.006, 0.003, 0.0087832602148709
0, 0.006, 0.004, 0.014, 0.006, 0.004, 0.00877701698899983
0, 0.006, 0.005, 0.014, 0.006, 0.005, 0.00869999991492953
0, 0.006, 0.006, 0.014, 0.006, 0.006, 0.00872269866505448
0, 0.006, 0.007, 0.014, 0.006, 0.007, 0.00877466098132766
0, 0.006, 0.008, 0.014, 0.006, 0.008, 0.0087841810261574
0, 0.006, 0.009000000000000001, 0.014, 0.006, 0.009000000000000001, 0.00888321785585268
0, 0.006, 0.010000000000000002, 0.014, 0.006, 0.010000000000000002, 0.000166342927920947
0, 0.006, 0.011000000000000003, 0.014, 0.006, 0.011000000000000003, 0
0, 0.006, 0.012000000000000004, 0.014, 0.006, 0.012000000000000004, 0
0, 0.006, 0.013000000000000005, 0.014, 0.006, 0.013000000000000005, 0
0, 0.006, 0.014000000000000005, 0.014, 0.006, 0.014000000000000005, 0
0, 0.006, 0.015000000000000006, 0.014, 0.006, 0.015000000000000006, 0.000108158117016999
0, 0.006, 0.016000000000000007, 0.014, 0.006, 0.016000000000000007, 0.00879860715309249
0, 0.006, 0.017000000000000008, 0.014, 0.006, 0.017000000000000008, 0.00858714742012429
0, 0.006, 0.01800000000000001, 0.014, 0.006, 0.01800000000000001, 0.00856931938494401
0, 0.006, 0.01900000000000001, 0.014, 0.006, 0.01900000000000001, 0.00854540572155212
0, 0.006, 0.02000000000000001, 0.014, 0.006, 0.02000000000000001, 0.0085741935129996
0, 0.006, 0.02100000000000001, 0.014, 0.006, 0.02100000000000001, 0.00850848836923672
0, 0.006, 0.022000000000000013, 0.014, 0.006, 0.022000000000000013, 0.00863499221702927
