x1, y1, z1, x2, y2, z2, Metrology_Out
0, 0.006, 0, 0.014, 0.006, 0, 8.93617012538614e-05
0, 0.006, 0.001, 0.014, 0.006, 0.001, 0.0126108312524812
0, 0.006, 0.002, 0.014, 0.006, 0.002, 0.0125999998767945
0, 0.006, 0.003, 0.014, 0.006, 0.003, 0.0126602131618903
0, 0.006, 0.004, 0.014, 0.006, 0.004, 0.0126564236118614
0, 0.006, 0.005, 0.014, 0.006, 0.005, 0.0125999998767945
0, 0.006, 0.006, 0.014, 0.006, 0.006, 0.0126605063318031
0, 0.006, 0.007, 0.014, 0.006, 0.007, 0.0125999998767945
0, 0.006, 0.008, 0.014, 0.006, 0.008, 0.0125999998767945
0, 0.006, 0.009000000000000001, 0.014, 0.006, 0.009000000000000001, 0.0126231168212987
0, 0.006, 0.010000000000000002, 0.014, 0.006, 0.010000000000000002, 0.000128532297149149
0, 0.006, 0.011000000000000003, 0.014, 0.006, 0.011000000000000003, 0
0, 0.006, 0.012000000000000004, 0.014, 0.006, 0.012000000000000004, 0
0, 0.006, 0.013000000000000005, 0.014, 0.006, 0.013000000000000005, 0
0, 0.006, 0.014000000000000005, 0.014, 0.006, 0.014000000000000005, 0
0, 0.006, 0.015000000000000006, 0.014, 0.006, 0.015000000000000006, 2.84934748903275e-05
0, 0.006, 0.016000000000000007, 0.014, 0.006, 0.016000000000000007, 0.0125999998767945
0, 0.006, 0.017000000000000008, 0.014, 0.006, 0.017000000000000008, 0.0126138380624017
0, 0.006, 0.01800000000000001, 0.014, 0.006, 0.01800000000000001, 0.0126579942821527
0, 0.006, 0.01900000000000001, 0.014, 0.006, 0.01900000000000001, 0.0125999998767945
0, 0.006, 0.02000000000000001, 0.014, 0.006, 0.02000000000000001, 0.0124624447378827
0, 0.006, 0.02100000000000001, 0.014, 0.006, 0.02100000000000001, 0.012504849031482
0, 0.006, 0.022000000000000013, 0.014, 0.006, 0.022000000000000013, 0.0125999998767945
0, 0.006, 0.023000000000000013, 0.014, 0.006, 0.023000000000000013, 0.0125999998767945
0, 0.006, 0.024000000000000014, 0.014, 0.006, 0.024000000000000014, 0.0126530184983764
0, 0.006, 0.025000000000000015, 0.014, 0.006, 0.025000000000000015, 0.000151136354120925
0, 0.006, 0.026000000000000016, 0.014, 0.006, 0.026000000000000016, 0
0, 0.006, 0.027000000000000017, 0.014, 0.006, 0.027000000000000017, 0
0, 0.006, 0.028000000000000018, 0.014, 0.006, 0.028000000000000018, 0
0, 0.006, 0.02900000000000002, 0.014, 0.006, 0.02900000000000002, 0
0, 0.006, 0.03000000000000002, 0.014, 0.006, 0.03000000000000002, 5.8978749234942e-05
0, 0.006, 0.03100000000000002, 0.014, 0.006, 0.03100000000000002, 0.0125086640446149
0, 0.006, 0.03200000000000002, 0.014, 0.006, 0.03200000000000002, 0.0125999998767945
0, 0.006, 0.03300000000000002, 0.014, 0.006, 0.03300000000000002, 0.012511209997387
0, 0.006, 0.03400000000000002, 0.014, 0.006, 0.03400000000000002, 0.0124514197502929
0, 0.006, 0.035000000000000024, 0.014, 0.006, 0.035000000000000024, 0.0124365090376005
0, 0.006, 0.036000000000000025, 0.014, 0.006, 0.036000000000000025, 0.0124813289733185
0, 0.006, 0.037000000000000026, 0.014, 0.006, 0.037000000000000026, 0.0124560443435055
0, 0.006, 0.03800000000000003, 0.014, 0.006, 0.03800000000000003, 0.0125999998767945
0, 0.006, 0.03900000000000003, 0.014, 0.006, 0.03900000000000003, 0.0125999998767945
0, 0.007, 0, 0.014, 0.007, 0, 0.0126422663942588
0, 0.007, 0.001, 0.014, 0.007, 0.001, 0.0127454544208268
0, 0.007, 0.002, 0.014, 0.007, 0.002, 0.0125999998767945
