x1, y1, z1, x2, y2, z2, Metrology_Out
0, 0.006, 0, 0.014, 0.006, 0, 0.000140094993315987
0, 0.006, 0.001, 0.014, 0.006, 0.001, 0.00903809786541993
0, 0.006, 0.002, 0.014, 0.006, 0.002, 0.00884636283807417
0, 0.006, 0.003, 0.014, 0.006, 0.003, 0.0088194827230664
0, 0.006, 0.004, 0.014, 0.006, 0.004, 0.00872104501615774
0, 0.006, 0.005, 0.014, 0.006, 0.005, 0.00861540476004078
0, 0.006, 0.006, 0.014, 0.006, 0.006, 0.00872997034149395
0, 0.006, 0.007, 0.014, 0.006, 0.007, 0.00878985877084809
0, 0.006, 0.008, 0.014, 0.006, 0.008, 0.0087842468118032
0, 0.006, 0.009000000000000001, 0.014, 0.006, 0.009000000000000001, 0.0089257267019584
0, 0.006, 0.010000000000000002, 0.014, 0.006, 0.010000000000000002, 0.000161272503619702
0, 0.006, 0.011000000000000003, 0.014, 0.006, 0.011000000000000003, 0
0, 0.006, 0.012000000000000004, 0.014, 0.006, 0.012000000000000004, 0
0, 0.006, 0.013000000000000005, 0.014, 0.006, 0.013000000000000005, 0
0, 0.006, 0.014000000000000005, 0.014, 0.006, 0.014000000000000005, 0
0, 0.006, 0.015000000000000006, 0.014, 0.006, 0.015000000000000006, 5.2018229154727e-05
0, 0.006, 0.016000000000000007, 0.014, 0.006, 0.016000000000000007, 0.00877271548574122
0, 0.006, 0.017000000000000008, 0.014, 0.006, 0.017000000000000008, 0.00858170525384908
0, 0.006, 0.01800000000000001, 0.014, 0.006, 0.01800000000000001, 0.00854641610967815
0, 0.006, 0.01900000000000001, 0.014, 0.006, 0.01900000000000001, 0.0085433392136368
0, 0.006, 0.02000000000000001, 0.014, 0.006, 0.02000000000000001, 0.00857115346156906
0, 0.006, 0.02100000000000001, 0.014, 0.006, 0.02100000000000001, 0.00862242209824807
0, 0.006, 0.022000000000000013, 0.014, 0.006, 0.022000000000000013, 0.00869999991492953
0, 0.006, 0.023000000000000013, 0.014, 0.006, 0.023000000000000013, 0.00869999991492953
0, 0.006, 0.024000000000000014, 0.014, 0.006, 0.024000000000000014, 0.00878649722984817
0, 0.006, 0.025000000000000015, 0.014, 0.006, 0.025000000000000015, 0.000118002651491256
0, 0.006, 0.026000000000000016, 0.014, 0.006, 0.026000000000000016, 0
0, 0.006, 0.027000000000000017, 0.014, 0.006, 0.027000000000000017, 0
0, 0.006, 0.028000000000000018, 0.014, 0.006, 0.028000000000000018, 0
0, 0.006, 0.02900000000000002, 0.014, 0.006, 0.02900000000000002, 0
0, 0.006, 0.03000000000000002, 0.014, 0.006, 0.03000000000000002, 8.31268336194529e-05
0, 0.006, 0.03100000000000002, 0.014, 0.006, 0.03100000000000002, 0.00849467887320743
0, 0.006, 0.03200000000000002, 0.014, 0.006, 0.03200000000000002, 0.00842299447764143
0, 0.006, 0.03300000000000002, 0.014, 0.006, 0.03300000000000002, 0.00831162066677025
0, 0.006, 0.03400000000000002, 0.014, 0.006, 0.03400000000000002, 0.00828770961406178
0, 0.006, 0.035000000000000024, 0.014, 0.006, 0.035000000000000024, 0.00845858604087583
0, 0.006, 0.036000000000000025, 0.014, 0.006, 0.036000000000000025, 0.00840294964339127
0, 0.006, 0.037000000000000026, 0.014, 0.006, 0.037000000000000026, 0.00847475920675429
0, 0.006, 0.03800000000000003, 0.014, 0.006, 0.03800000000000003, 0.00847229067594471
0, 0.006, 0.03900000000000003, 0.014, 0.006, 0.03900000000000003, 0.00874772228687558
0, 0.007, 0, 0.014, 0.007, 0, 0.00899963846809562
0, 0.007, 0.001, 0.014, 0.007, 0.001, 0.00886626860174405
0, 0.007, 0.002, 0.014, 0.007, 0.002, 0.00863512014051664
0, 0.007, 0.003, 0.014, 0.007, 0.003, 0.00857382903656083
0, 0.007, 0.004, 0.014, 0.007, 0.004, 0.0085071607562536
0, 0.007, 0.005, 0.014, 0.007, 0.005, 0.00852547411032829
0, 0.007, 0.006, 0.014, 0.007, 0.006, 0.00854560532260436
0, 0.007, 0.007, 0.014, 0.007, 0.007, 0.00850304439694078
0, 0.007, 0.008, 0.014, 0.007, 0.008, 0.00861167732997202
0, 0.007, 0.009000000000000001, 0.014, 0.007, 0.009000000000000001, 0.00878181809594768
0, 0.007, 0.010000000000000002, 0.014, 0.007, 0.010000000000000002, 0.0088622217432345
0, 0.007, 0.011000000000000003, 0.014, 0.007, 0.011000000000000003, 0
0, 0.007, 0.012000000000000004, 0.014, 0.007, 0.012000000000000004, 0
0, 0.007, 0.013000000000000005, 0.014, 0.007, 0.013000000000000005, 0
0, 0.007, 0.014000000000000005, 0.014, 0.007, 0.014000000000000005, 0
0, 0.007, 0.015000000000000006, 0.014, 0.007, 0.015000000000000006, 0.00871622509778098
0, 0.007, 0.016000000000000007, 0.014, 0.007, 0.016000000000000007, 0.00855935322617457
0, 0.007, 0.017000000000000008, 0.014, 0.007, 0.017000000000000008, 0.00844737451906192
0, 0.007, 0.01800000000000001, 0.014, 0.007, 0.01800000000000001, 0.008399999917863
0, 0.007, 0.01900000000000001, 0.014, 0.007, 0.01900000000000001, 0.00842572205843032
0, 0.007, 0.02000000000000001, 0.014, 0.007, 0.02000000000000001, 0.00843001311224974
0, 0.007, 0.02100000000000001, 0.014, 0.007, 0.02100000000000001, 0.00850464207260627
0, 0.007, 0.022000000000000013, 0.014, 0.007, 0.022000000000000013, 0.00848339706410696
0, 0.007, 0.023000000000000013, 0.014, 0.007, 0.023000000000000013, 0.0085134187610962
0, 0.007, 0.024000000000000014, 0.014, 0.007, 0.024000000000000014, 0.00869999991492953
0, 0.007, 0.025000000000000015, 0.014, 0.007, 0.025000000000000015, 0.000381180410957011
0, 0.007, 0.026000000000000016, 0.014, 0.007, 0.026000000000000016, 0
0, 0.007, 0.027000000000000017, 0.014, 0.007, 0.027000000000000017, 0
0, 0.007, 0.028000000000000018, 0.014, 0.007, 0.028000000000000018, 0
0, 0.007, 0.02900000000000002, 0.014, 0.007, 0.02900000000000002, 0
0, 0.007, 0.03000000000000002, 0.014, 0.007, 0.03000000000000002, 0.00838320378212483
